Det,Location,Target,Formula,C0,C1_sW13,C2_switch,C3_canyon,a_thresh,has_H_term,A,k
1,Street,RadiusP,additive,7.778055141600422,-0.5764394550326711,2.2984475048971484,0.5756133723295354,1.0,1.0,,
2,Intersection,RadiusP,additive,10.060390096607335,-1.156861841954657,2.1850804984976975,0.709826776029677,2.0,1.0,,
1,Street,RadiusI,log,,,,,,,11.934113799151342,0.09428885794198048
2,Intersection,RadiusI,log,,,,,,,12.766221903765093,0.08090138556680612
