Det,Location,Target,C,m,p_rho,q_HoverS,r_sW13,Zf_min
1,Street,Pressure,2.251104132047169,0.883392213302189,0.23093422250846596,-0.013757472605480908,-0.05630180467217283,2.0
1,Street,Impulse,3.4805413414207105,0.7059615367356132,0.2372556097134157,0.08042163677610134,0.04569671867859902,2.0
2,Intersection,Pressure,1.7388083125946112,1.075688077943325,0.13207311533424837,0.0015937146379139677,-0.079809836079682,2.0
2,Intersection,Impulse,3.428067201290224,0.7194274959163973,0.1822404789743699,0.10401620750616081,0.048566475437583356,2.0
