Det,Location,Target,C,m,p_rho,q_HoverS,r_sW13,Zf_min
1,Street,Pressure,2.3414178605574554,0.858477683319852,0.24783176082452923,-0.012843795258358173,-0.05080525010592565,2.0
1,Street,Impulse,3.570125118205011,0.6997600905113996,0.2569690731134456,0.07972849726221001,0.056313278313997364,2.0
2,Intersection,Pressure,1.7337697822772455,1.0831876039683304,0.12913737268860526,0.0022354752502381503,-0.0796696631684983,2.0
2,Intersection,Impulse,3.463075318676237,0.7260652920951713,0.1961364878353894,0.107098684883493,0.05381568125305966,2.0
