iteration,conv_P,conv_I,z_P,z_I,worst,conv_P_r2,conv_I_r2
0,8.691603952754097,10.552928596352366,9.727502140231262,11.93520688445564,11.93520688445564,0.9555237879905885,0.9263407090047592
1,8.61120838589452,8.672409565065681,7.643517156476327,8.542418672146747,8.672409565065681,0.94054970183342,0.9124464781374331
2,8.060765726508347,8.540366540505726,9.704895723192658,12.422945577356547,12.422945577356547,0.9390864093671654,0.9316170801899977
3,11.827089642536164,9.004011745143073,8.436849045888694,12.614856905561671,12.614856905561671,0.9387818389373502,0.9651557353537572
4,10.790379347347786,10.88117801556895,10.288695506079938,13.938066527628608,13.938066527628608,0.8960618839387663,0.9058717415722191
5,6.808365073105933,8.243756828303775,8.676134689241513,10.394376881564437,10.394376881564437,0.9543435855343554,0.923738339360574
6,8.808771263402694,7.554286703734943,9.124086419434757,9.872723387389966,9.872723387389966,0.9363926205450361,0.9487836413425651
7,9.544430302462802,8.861676454416068,7.480428887785126,14.162485647392767,14.162485647392767,0.946767068661805,0.9490716881534621
8,9.472725488509735,7.743471545387928,7.382706376107588,10.73928871228609,10.73928871228609,0.9325322724838716,0.9409365480155749
9,11.397368969091907,8.6996416645813,9.573318058518502,14.50936039361997,14.50936039361997,0.9342794695551967,0.9459227628152366
10,10.803001945132548,9.006891511917663,8.576514049838964,10.494326115134271,10.803001945132548,0.9032521693782118,0.9392245975816732
11,10.011517400276619,7.470403671629547,9.94795545947296,12.971343651554607,12.971343651554607,0.9332335320857705,0.9502562330445538
12,9.231410907033977,7.378764631581802,9.024707706069336,13.01159499659684,13.01159499659684,0.8570461411956258,0.8819711030441145
13,6.877809399469001,11.439847179650329,10.24177633247233,11.497468014764086,11.497468014764086,0.9647044914215083,0.9298973770943052
14,7.028343169497705,8.213592675538859,8.927574360456973,10.894743141123325,10.894743141123325,0.9540147219542662,0.9472005605989702
15,7.016263031666307,9.074634288924674,9.661100880699433,13.30951546076539,13.30951546076539,0.9573756811349378,0.9463238817400815
16,10.051161561801232,8.218966937940678,8.99512959046396,13.114838375634207,13.114838375634207,0.9125762718500235,0.9567878415979174
17,10.441135759254168,9.443256015900397,9.473442128081915,13.927518444276155,13.927518444276155,0.9421127704441288,0.9505324085326894
18,11.23250584450437,9.502808897092399,9.065278017472219,14.812250777513416,14.812250777513416,0.8904914239017835,0.9190662768306515
19,9.460578559501554,6.123552284407316,8.54537520771563,10.499001452126823,10.499001452126823,0.911996601508713,0.9514066920411581
20,5.4505858701583385,9.848393917754965,8.592659556627188,10.149659958144394,10.149659958144394,0.9829016436605997,0.9543668627780115
21,5.252173171368222,9.075774485894469,11.9694209302401,13.40627891784257,13.40627891784257,0.9800368848300725,0.9550332311860529
22,7.075343632183566,6.657011077852316,9.294540569340919,12.399790017364424,12.399790017364424,0.9632050016641046,0.9697255389620414
23,6.717288715412126,8.425362913457722,9.369409958478737,11.749289065038667,11.749289065038667,0.9553580663864563,0.9363790874417883
24,8.915210952547396,7.942951488026656,9.04306281658629,11.548572976691169,11.548572976691169,0.9501128461816737,0.9574077694254142
25,10.201554997032023,8.258333239564637,8.719629289024953,10.638486636875486,10.638486636875486,0.92825950132812,0.9531301542974465
26,8.92120084265908,8.432915542428713,9.442439366548319,13.13816808054527,13.13816808054527,0.9374463611166896,0.9403408714581735
27,9.407976780471202,10.03822797870308,9.726095974005352,13.55077411339256,13.55077411339256,0.9189650148087939,0.9329156927855129
28,9.255272488376557,10.224245902064732,10.33124017696878,11.830095998931,11.830095998931,0.9274116323973866,0.9294105881870393
29,9.18954597960483,8.936767319820854,7.562046773102823,12.8001179290678,12.8001179290678,0.9257638906449488,0.9306013835992202
30,9.486710182029645,8.231311668975058,8.133173127144842,8.134154375665528,9.486710182029645,0.9523328843599068,0.9629813166952395
31,6.783103801688653,7.511790606944274,9.379187242144761,9.847907087067941,9.847907087067941,0.9637162046016226,0.9551645743390312
32,11.063569019448982,8.685169428778357,7.580735758541319,12.737993325304572,12.737993325304572,0.9183134380593198,0.9523368805466509
33,8.63799909713783,9.823305064066037,9.898393307023833,14.029875815595428,14.029875815595428,0.9358377044593988,0.9398929233111536
34,8.105323443079142,6.952388729065858,8.655124426281557,10.56890764229626,10.56890764229626,0.9488870382475528,0.9551719222301084
35,8.607851619214765,6.7741858136674775,9.514779758788338,12.673305914123967,12.673305914123967,0.9617091770223701,0.9677662003939499
36,8.215230066841105,6.902025774252207,9.781772314468839,11.412256932613307,11.412256932613307,0.9326317490683861,0.9743590882481433
37,8.59326569751781,10.997002055139085,9.927207050821776,12.570545676341133,12.570545676341133,0.939687953822023,0.9388802360366112
38,7.739765332611559,7.471015267930089,8.799091305555717,9.701391057505738,9.701391057505738,0.9321383952574913,0.9397963124325549
39,5.763016504143165,8.595522881926417,9.873660975389056,10.343759891017891,10.343759891017891,0.9795375278892563,0.9503349909544253
40,9.424830527966693,5.97872788893505,7.692060788822365,9.30347793304535,9.424830527966693,0.9491006829859948,0.963914437491919
41,9.265369188695317,11.054186375732703,9.591292571745786,13.269474743225057,13.269474743225057,0.9278757587799001,0.9348167847858445
42,9.61715543812792,7.047234761153215,10.796363421238235,13.94233316174234,13.94233316174234,0.9181981008964852,0.9723196087773575
43,8.052207903647322,8.776523923041077,9.25402266881507,11.038660624282624,11.038660624282624,0.9514154825740082,0.9504339372985057
44,6.805041922325361,9.353282744674699,8.967670564293574,12.056579227255064,12.056579227255064,0.966014866830031,0.9513604234426043
45,7.610082942107669,7.4606823331628895,7.3191614105169664,10.633242418152303,10.633242418152303,0.9317761567873146,0.9475845107159083
46,6.428798383733303,9.462906146375493,8.606085455838457,10.197820007332131,10.197820007332131,0.9613302670580441,0.9499668196801927
47,6.872118244971135,6.3616606791323385,8.003814125599709,10.57113081225937,10.57113081225937,0.9633053711880454,0.9597237675397353
48,9.896247081735146,7.923145149546559,9.202751564713614,10.967776385388992,10.967776385388992,0.8800206590019732,0.9337507072365477
49,9.252103335678125,8.416488190112306,5.524977620948021,9.6326048929873,9.6326048929873,0.9494824575322715,0.9615419039293052
50,8.695240701753693,8.010412827965316,7.797686299663953,11.556249424271646,11.556249424271646,0.9384066016543688,0.9190932199516212
51,9.078644284518198,7.532109397262385,9.186944901062223,14.012934668808091,14.012934668808091,0.9534311601895998,0.9631080775460088
52,7.784471272758433,6.980485204548222,8.713659602965809,10.03811474955249,10.03811474955249,0.948807181370566,0.9396221848232768
53,11.721814705364064,8.252057794999343,8.943847355653716,11.920368556706604,11.920368556706604,0.8784293522047278,0.93293221385844
54,9.385465280346214,7.651125336086176,9.289398492475124,12.44654335379856,12.44654335379856,0.9522974505115284,0.9604005144420894
55,9.016698403374475,10.983195076441248,9.20456207180849,12.158171736179954,12.158171736179954,0.9452174981536632,0.9201892379954633
56,9.193967369231846,7.285110733397946,10.070553594918634,13.37248873450976,13.37248873450976,0.950102031681334,0.965594046807801
