ConfigName,R_convergence1,R_convergence2,R_convergence3
config_01_det1_b15_s5_h4_w50,62.62504491016354,53.406156105780404,43.71712479109302
config_02_det1_b15_s5_h4_w500,130.97813271687758,120.1837077063517,105.54250598429263
config_03_det1_b15_s5_h4_w1500,202.64038343824757,189.88885493729464,162.32514511347622
config_04_det1_b15_s5_h12_w50,69.50756253818716,64.60646732599409,45.485353411840165
config_05_det1_b15_s5_h12_w500,127.43871075932933,119.99000200795396,103.92171826802029
config_06_det1_b15_s5_h12_w1500,178.74597897575208,165.08195888681766,144.46272606531494
config_07_det1_b15_s5_h24_w50,57.846445439629214,52.71116916740459,35.22143346032356
config_08_det1_b15_s5_h24_w500,145.5511078624962,139.02106419867255,113.99475603192359
config_09_det1_b15_s5_h24_w1500,185.70574843014418,175.75301870562063,156.15692463387947
config_10_det1_b15_s20_h4_w50,66.88023811261439,59.119227182621586,42.70050643727777
config_11_det1_b15_s20_h4_w500,150.2502079865449,133.52027369515298,106.13376184220448
config_12_det1_b15_s20_h4_w1500,220.25014188417677,208.02008324871127,155.22663569940423
config_13_det1_b15_s20_h12_w50,56.991413826996784,50.229694254845015,36.42915194059712
config_14_det1_b15_s20_h12_w500,135.5567224448865,117.23529090653327,89.4222260620305
config_15_det1_b15_s20_h12_w1500,211.84339734813545,186.72582680993844,142.5734390196466
config_16_det1_b15_s20_h24_w50,56.991413826996784,50.229694254845015,35.70878918417705
config_17_det1_b15_s20_h24_w500,109.44496904837608,99.68111604674596,74.76101721114048
config_18_det1_b15_s20_h24_w1500,197.30718435982,157.31319362995032,112.38361831987199
config_19_det1_b30_s5_h4_w50,58.1936422644261,56.077435220813406,40.555647811919414
config_20_det1_b30_s5_h4_w500,129.27637545197499,120.55024942915063,97.09560923817993
config_21_det1_b30_s5_h4_w1500,206.51422469166621,186.6270517154432,154.08872151206336
config_22_det1_b30_s5_h12_w50,73.47190789682816,70.50838132179109,49.39538791448268
config_23_det1_b30_s5_h12_w500,115.92077035630845,111.14887198089156,96.89735010996604
config_24_det1_b30_s5_h12_w1500,190.1778772623146,181.77456137404582,141.39898362238833
config_25_det1_b30_s5_h24_w50,72.87229411786073,55.54768845757184,39.45500654754307
config_26_det1_b30_s5_h24_w500,145.55969565782968,141.16205250493874,111.72047211182421
config_27_det1_b30_s5_h24_w1500,195.19381393886437,184.28376306593066,156.8796380456474
config_28_det1_b30_s20_h4_w50,71.42055901489431,51.746436507761494,42.2901356044698
config_29_det1_b30_s20_h4_w500,137.15000911410834,122.7693883160922,96.40820439672133
config_30_det1_b30_s20_h4_w1500,230.06004650960148,219.1122578598937,161.03902619655068
config_31_det1_b30_s20_h12_w50,60.07729396369314,54.881419021085904,41.32405322569411
config_32_det1_b30_s20_h12_w500,115.8173400229862,112.88123919115442,88.37627108939745
config_33_det1_b30_s20_h12_w1500,191.63930964183731,176.72316399667838,138.2956619890877
config_34_det1_b30_s20_h24_w50,60.07504681646115,54.881419021085904,41.03230282350724
config_35_det1_b30_s20_h24_w500,119.54340216005231,112.11650339300374,71.46052319287901
config_36_det1_b30_s20_h24_w1500,196.57218775808545,186.22293910045477,128.12590948186693
config_37_det2_b15_s5_h4_w50,55.89840113992528,55.399669036356485,46.255709707619395
config_38_det2_b15_s5_h4_w500,126.84152021321725,124.81428704279008,96.31291904516236
config_39_det2_b15_s5_h4_w1500,210.28700625573612,196.370931997491,155.36680370801366
config_40_det2_b15_s5_h12_w50,66.69731066542339,65.59760856921538,53.82821350782918
config_41_det2_b15_s5_h12_w500,126.44194814222058,124.28751445740637,103.2350823901987
config_42_det2_b15_s5_h12_w1500,252.79463008537186,240.66713630649053,163.80569027560264
