ConfigName,R_convergence1,R_convergence2,R_convergence3
config_01_det1_b15_s5_h4_w50,36.19525176041741,34.97531985944067,25.245105961354174
config_02_det1_b15_s5_h4_w500,82.60363944766598,63.554981647668406,56.138140382057145
config_03_det1_b15_s5_h4_w1500,118.17053884111725,103.12491802287653,84.18196766859013
config_04_det1_b15_s5_h12_w50,43.876602534836266,34.37888536281401,22.539029112482492
config_05_det1_b15_s5_h12_w500,94.35208662239538,89.53095529950863,69.8017782724767
config_06_det1_b15_s5_h12_w1500,136.38227524132304,114.09284663063139,89.83892746960468
config_07_det1_b15_s5_h24_w50,43.876602534836266,34.37888536281401,22.540681432566416
config_08_det1_b15_s5_h24_w500,120.7130533538109,117.53487679013833,73.32736045751726
config_09_det1_b15_s5_h24_w1500,145.5511078624962,136.99883498043727,101.7547647669522
config_10_det1_b15_s20_h4_w50,36.76637390333727,34.52912816829175,23.529955789258178
config_11_det1_b15_s20_h4_w500,112.68050519056081,86.17472109129818,57.9914820134053
config_12_det1_b15_s20_h4_w1500,150.26019100214134,130.6770932817172,88.86513822454036
config_13_det1_b15_s20_h12_w50,36.76637390333727,34.52912816829175,23.930105689974155
config_14_det1_b15_s20_h12_w500,108.51154892452692,62.644705663463526,53.050600321244666
config_15_det1_b15_s20_h12_w1500,120.40608373333966,111.92980028637066,83.22232764976262
config_16_det1_b15_s20_h24_w50,36.76637390333727,34.52912816829175,23.930105689974155
config_17_det1_b15_s20_h24_w500,63.69482906798636,60.83484333117602,51.25671283950143
config_18_det1_b15_s20_h24_w1500,98.43017829913751,89.70749591498029,81.1349939059042
config_19_det1_b30_s5_h4_w50,41.96690660508587,38.024179557232756,29.697415712482456
config_20_det1_b30_s5_h4_w500,77.92590230468942,73.50970870857059,48.795136938929566
config_21_det1_b30_s5_h4_w1500,108.28492508193372,98.03085867125998,72.93883834342914
config_22_det1_b30_s5_h12_w50,55.2282196888511,43.10521259271201,28.509912993358796
config_23_det1_b30_s5_h12_w500,95.10668351908818,90.07514976062112,64.78753695306254
config_24_det1_b30_s5_h12_w1500,112.10318907149787,108.64761200647916,86.1308847368675
config_25_det1_b30_s5_h24_w50,55.2282196888511,43.03026263822549,28.520012953869582
config_26_det1_b30_s5_h24_w500,124.97249697433432,120.8105252571487,80.53502274718055
config_27_det1_b30_s5_h24_w1500,155.4577916992262,143.59333358398183,108.08168348779341
config_28_det1_b30_s20_h4_w50,42.19628241918949,41.26501687077446,30.34565569310448
