Det,Location,Target,C,m,p_rho,q_HoverS,r_sW13,Zf_min
1,Street,Pressure,1.9785380175481946,0.8672114760260776,0.17789048856486844,-0.002638226613238641,-0.046761366889064626,2.0
1,Street,Impulse,2.76892012492393,0.7831012782737772,0.2217739499102951,0.07795563952693038,0.05281749535767666,2.0
2,Intersection,Pressure,1.5945142415017106,1.0660465174788722,0.11535168088279857,-0.01571905091434439,-0.08490149491586246,2.0
2,Intersection,Impulse,2.7843599357177213,0.8154926555545714,0.22438405387662563,0.10378550145744164,0.07156013695166562,2.0
