Det,Location,Target,Formula,C0,C1_sW13,C2_switch,C3_canyon,a_thresh,has_H_term,A,p_rho,q_HoverS,r_sW13
1,Street,RadiusP,additive,7.729202808904942,-0.5690523448682951,2.4166853988546366,0.6816427042796662,1.0,1.0,,,,
2,Intersection,RadiusP,additive,9.923040427689966,-1.0983816788437435,2.119265249068344,0.7138309516501795,2.0,1.0,,,,
1,Street,RadiusI,power,,,,,,,14.615570830653144,0.25940657835488695,0.0062228400205950225,0.04850291152636067
2,Intersection,RadiusI,power,,,,,,,16.06583394512349,0.413244490073045,0.07530808669876356,0.15183655442509636
