Det,Location,Target,C,m,p_rho,q_HoverS,r_sW13,Zf_min
1,Street,Pressure,1.9677692300777003,0.8801328211756858,0.1866987366588344,-0.002852874693977034,-0.04639270103227355,2.0
1,Street,Impulse,2.7436970971337757,0.7880418472674043,0.22290134884699148,0.08564728641273996,0.05279246507361256,2.0
2,Intersection,Pressure,1.5820836329511139,1.0633046067323195,0.10644002636366656,-0.005227347717707026,-0.08394928976341745,2.0
2,Intersection,Impulse,2.705125299649181,0.8243339442617382,0.20559116734289484,0.11179915172763712,0.06472756029490964,2.0
