ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR,RadiusEstimator
config_01_det1_b15_s5_h4_w50,1,4,15,5,0.5625,0.09375,50,25.245105961354174,51.06649613766131,14.056258201599121,5.057340911030769,req
config_02_det1_b15_s5_h4_w500,1,4,15,5,0.5625,0.09375,500,56.138140382057145,101.60636298972618,2.962456101729786,227.1687774658203,req
config_03_det1_b15_s5_h4_w1500,1,4,15,5,0.5625,0.09375,1500,84.18196766859013,109.17992056946898,13.507432102615493,341.13604736328125,req
config_04_det1_b15_s5_h12_w50,1,12,15,5,0.5625,0.28125,50,22.539029112482492,53.119547955531395,17.714475631713867,143.36334228515625,req
config_05_det1_b15_s5_h12_w500,1,12,15,5,0.5625,0.28125,500,69.8017782724767,102.9907398750004,26.189647674560547,294.1971435546875,req
config_06_det1_b15_s5_h12_w1500,1,12,15,5,0.5625,0.28125,1500,89.83892746960468,111.55699676747209,1.6865094635460034,333.3150634765625,req
config_07_det1_b15_s5_h24_w50,1,24,15,5,0.5625,0.5625,50,22.540681432566416,51.61849837994127,17.708070755004883,7.044320097565649,req
config_08_det1_b15_s5_h24_w500,1,24,15,5,0.5625,0.5625,500,73.32736045751726,107.59327000328598,25.26690673828125,197.54736328125,req
config_09_det1_b15_s5_h24_w1500,1,24,15,5,0.5625,0.5625,1500,101.7547647669522,122.21438017771158,1.082631871459246,520.06005859375,req
config_10_det1_b15_s20_h4_w50,1,4,15,20,0.1836734693877551,0.030612244897959186,50,23.529955789258178,32.906672744461886,16.50550079345703,1.9967312961816788,req
config_11_det1_b15_s20_h4_w500,1,4,15,20,0.1836734693877551,0.030612244897959186,500,57.9914820134053,79.73619882323071,3.677275490119379,221.250244140625,req
config_12_det1_b15_s20_h4_w1500,1,4,15,20,0.1836734693877551,0.030612244897959186,1500,88.86513822454036,120.721408853424,4.761340967967588,244.3143310546875,req
config_13_det1_b15_s20_h12_w50,1,12,15,20,0.1836734693877551,0.09183673469387756,50,23.930105689974155,33.01554347744575,15.526266098022461,2.658652424812317,req
config_14_det1_b15_s20_h12_w500,1,12,15,20,0.1836734693877551,0.09183673469387756,500,53.050600321244666,80.68754326963294,15.596234321594238,219.8153839111328,req
config_15_det1_b15_s20_h12_w1500,1,12,15,20,0.1836734693877551,0.09183673469387756,1500,83.22232764976262,121.15627328188812,12.68696117401123,259.4463195800781,req
config_16_det1_b15_s20_h24_w50,1,24,15,20,0.1836734693877551,0.1836734693877551,50,23.930105689974155,33.02160025397517,15.526273727416992,2.972057580947876,req
config_17_det1_b15_s20_h24_w500,1,24,15,20,0.1836734693877551,0.1836734693877551,500,51.25671283950143,80.77890590301956,17.865976333618164,192.0938720703125,req
config_18_det1_b15_s20_h24_w1500,1,24,15,20,0.1836734693877551,0.1836734693877551,1500,81.1349939059042,120.82296990041073,8.740468978881836,312.67822265625,req
config_19_det1_b30_s5_h4_w50,1,4,30,5,0.7346938775510204,0.12244897959183675,50,29.697415712482456,49.23034435747484,0.7054894339584327,134.37973022460938,req
config_20_det1_b30_s5_h4_w500,1,4,30,5,0.7346938775510204,0.12244897959183675,500,48.795136938929566,112.38239519604484,2.8840191060852494,7.0486884117126465,req
config_21_det1_b30_s5_h4_w1500,1,4,30,5,0.7346938775510204,0.12244897959183675,1500,72.93883834342914,153.55895470289073,1.4970616407750643,298.434814453125,req
config_22_det1_b30_s5_h12_w50,1,12,30,5,0.7346938775510204,0.3673469387755102,50,28.509912993358796,53.702121181983536,0.3860567543480791,5.6511015444991175,req
config_23_det1_b30_s5_h12_w500,1,12,30,5,0.7346938775510204,0.3673469387755102,500,64.78753695306254,113.84607365259072,2.2532972137312623,11.439321368932724,req
config_24_det1_b30_s5_h12_w1500,1,12,30,5,0.7346938775510204,0.3673469387755102,1500,86.1308847368675,153.85295509565836,23.59836527521928,368.7515563964844,req
config_25_det1_b30_s5_h24_w50,1,24,30,5,0.7346938775510204,0.7346938775510204,50,28.520012953869582,56.15162224331151,0.3401814708683915,10.407182961702347,req
config_26_det1_b30_s5_h24_w500,1,24,30,5,0.7346938775510204,0.7346938775510204,500,80.53502274718055,119.58537280490825,7.143749904091411,73.88916105031967,req
config_27_det1_b30_s5_h24_w1500,1,24,30,5,0.7346938775510204,0.7346938775510204,1500,108.08168348779341,162.22850396893884,6.923418933904031,449.0364990234375,req
config_28_det1_b30_s20_h4_w50,1,4,30,20,0.36,0.06,50,30.34565569310448,36.705114879718515,0.0711706039879897,1.3514941801549867,req
config_29_det1_b30_s20_h4_w500,1,4,30,20,0.36,0.06,500,55.77492367642569,84.0769666403614,13.204030990600586,182.846923828125,req
config_30_det1_b30_s20_h4_w1500,1,4,30,20,0.36,0.06,1500,85.58718597300519,139.56397676732743,23.684555053710938,253.82275390625,req
config_31_det1_b30_s20_h12_w50,1,12,30,20,0.36,0.18000000000000002,50,30.696701098543684,36.729061495406235,0.12080984925966963,2.3214923590421677,req
config_32_det1_b30_s20_h12_w500,1,12,30,20,0.36,0.18000000000000002,500,53.34157110859534,86.52612659384062,1.9723989017365966,7.620283156633377,req
config_33_det1_b30_s20_h12_w1500,1,12,30,20,0.36,0.18000000000000002,1500,82.03827528118269,140.2238553567513,14.70217227935791,343.49200439453125,req
config_34_det1_b30_s20_h24_w50,1,24,30,20,0.36,0.36000000000000004,50,30.696701098543684,37.6229977318838,0.19218613242845822,10.6556476354599,req
config_35_det1_b30_s20_h24_w500,1,24,30,20,0.36,0.36000000000000004,500,53.57300289221138,85.62035802502423,6.47572660446167,46.33223533630371,req
config_36_det1_b30_s20_h24_w1500,1,24,30,20,0.36,0.36000000000000004,1500,82.44980990140473,140.49523855118917,13.3745698928833,316.7353210449219,req
config_37_det2_b15_s5_h4_w50,2,4,15,5,0.5625,0.09375,50,29.391603818097444,52.03003339418493,0.6665465034602672,2.6223950898647117,req
config_38_det2_b15_s5_h4_w500,2,4,15,5,0.5625,0.09375,500,60.016883851314894,100.1883694597332,10.913538932800293,8.66687634408205,req
config_39_det2_b15_s5_h4_w1500,2,4,15,5,0.5625,0.09375,1500,89.7390989201474,106.54847749055618,9.983816241676525,249.6142963367713,req
config_40_det2_b15_s5_h12_w50,2,12,15,5,0.5625,0.28125,50,22.728602574729493,60.51947930212222,2.716094410013473,0.5996926303207949,req
config_41_det2_b15_s5_h12_w500,2,12,15,5,0.5625,0.28125,500,76.13240686461974,104.75128340502563,8.335968858754494,12.55674674748974,req
config_42_det2_b15_s5_h12_w1500,2,12,15,5,0.5625,0.28125,1500,99.83513938266204,118.82109193610741,24.106647491455078,510.8616943359375,req
config_43_det2_b15_s5_h24_w50,2,24,15,5,0.5625,0.5625,50,22.14774944673963,57.22627783632271,19.81891441345215,15.281432077288628,req
config_44_det2_b15_s5_h24_w500,2,24,15,5,0.5625,0.5625,500,83.71527945297018,113.40966118457457,1.2819063074945007,267.4931335449219,req
config_45_det2_b15_s5_h24_w1500,2,24,15,5,0.5625,0.5625,1500,121.12097648402793,126.32643527781507,20.00946044921875,511.8751525878906,req
config_46_det2_b15_s20_h4_w50,2,4,15,20,0.1836734693877551,0.030612244897959186,50,18.473450543956318,40.35272312854349,0.2444560587464366,106.60065460205078,req
config_47_det2_b15_s20_h4_w500,2,4,15,20,0.1836734693877551,0.030612244897959186,500,67.93048192821836,84.08303229216013,0.4039280269120125,175.32041931152344,req
config_48_det2_b15_s20_h4_w1500,2,4,15,20,0.1836734693877551,0.030612244897959186,1500,92.5553385518331,128.30126276766637,4.272479142801766,262.3850402832031,req
