iteration,conv_P,conv_I,z_P,z_I,worst,conv_P_r2,conv_I_r2
0,8.691603952754097,8.346651972198066,8.852417165691845,11.474624139219149,11.474624139219149,0.9555237879905885,0.8797454748435314
1,8.61120838589452,7.3857326693057,8.399618685883276,8.338724049290157,8.61120838589452,0.94054970183342,0.8785053919377512
2,8.060765726508347,7.108084178894036,8.854445370656304,9.392453039632358,9.392453039632358,0.9390864093671654,0.96216344036373
3,11.827089642536164,10.889796601480029,10.554226318853074,11.87341357068258,11.87341357068258,0.9387818389373502,0.8974947662890728
4,10.790379347347786,7.9535657291665816,8.31073966521132,11.039674644583341,11.039674644583341,0.8960618839387663,0.8584384528792992
5,6.808365073105933,9.179015276447956,9.534523566164106,6.7756052884069895,9.534523566164106,0.9543435855343554,0.8092429801964158
6,8.808771263402694,7.107207770331208,9.376532828975535,10.26432420994283,10.26432420994283,0.9363926205450361,0.9708306801743988
7,9.544430302462802,10.484982179425968,8.167342679589272,10.293972408439213,10.484982179425968,0.946767068661805,0.8792620398462341
8,9.472725488509735,8.48884998541613,7.2750588843274056,8.938774951826757,9.472725488509735,0.9325322724838716,0.8647511887639427
9,11.397368969091907,7.354833436241101,7.997638284010698,11.85439551062419,11.85439551062419,0.9342794695551967,0.927483765702335
10,10.803001945132548,7.538452277585203,8.766048249499928,8.124118223654492,10.803001945132548,0.9032521693782118,0.961265754290289
11,10.011517400276619,6.758487691901573,8.685544944870182,9.643400021453457,10.011517400276619,0.9332335320857705,0.9188781006410819
12,9.231410907033977,7.334423889528193,8.122253961505708,8.314548173636046,9.231410907033977,0.8570461411956258,0.7297872850450067
13,6.877809399469001,6.483957243144801,9.513957587905345,9.606852898591702,9.606852898591702,0.9647044914215083,0.9354785289807025
14,7.028343169497705,7.637898888848286,9.02536125951722,9.622410995234697,9.622410995234697,0.9540147219542662,0.958436809215462
15,7.016263031666307,9.588781330046151,11.389349528748019,10.375511963412198,11.389349528748019,0.9573756811349378,0.8839048606512329
16,10.051161561801232,8.41440502055288,8.484518193765254,9.620776690612354,10.051161561801232,0.9125762718500235,0.9188332058448985
17,10.441135759254168,7.525150599184899,10.70756368963296,11.526574667726146,11.526574667726146,0.9421127704441288,0.9191140237662135
18,11.23250584450437,6.149516609697261,8.305642662384834,11.951605565797381,11.951605565797381,0.8904914239017835,0.9661734912572832
19,9.460578559501554,6.842136054125195,8.2691468810581,8.960371008463035,9.460578559501554,0.911996601508713,0.9241503520409518
20,5.4505858701583385,12.422870874839194,7.25477905530593,8.141751208425337,12.422870874839194,0.9829016436605997,0.7757986565549715
21,5.252173171368222,8.651364595777537,8.048585333482281,11.173450035415518,11.173450035415518,0.9800368848300725,0.9043378272002333
22,7.075343632183566,13.253262555057855,7.467373409775781,8.506654729365296,13.253262555057855,0.9632050016641046,0.7774617115288693
23,6.717288715412126,9.048645105245209,8.167652792091868,7.419622835658264,9.048645105245209,0.9553580663864563,0.759461237496909
24,8.915210952547396,9.133609214171509,6.646195956552916,10.559367372652291,10.559367372652291,0.9501128461816737,0.9209884286393069
25,10.201554997032023,7.689622450523356,8.203304167417004,7.644555055591779,10.201554997032023,0.92825950132812,0.8449831884752826
26,8.92120084265908,7.721820872794778,9.004435235138335,9.142044950949844,9.142044950949844,0.9374463611166896,0.8965134405808264
27,9.407976780471202,9.081141118638332,7.708143384724924,11.01543943846672,11.01543943846672,0.9189650148087939,0.7994556857496942
28,9.255272488376557,8.616571856981123,8.928363554631172,9.343579854263693,9.343579854263693,0.9274116323973866,0.8821767628792322
29,9.18954597960483,7.450848020120561,7.246016568174205,8.841189502153632,9.18954597960483,0.9257638906449488,0.889473878580303
30,9.486710182029645,10.782633185335866,7.506113140538771,8.602839045158083,10.782633185335866,0.9523328843599068,0.7982500749023388
31,6.783103801688653,8.350700803833579,8.961903908797392,6.838837162833913,8.961903908797392,0.9637162046016226,0.8481174439984643
32,11.063569019448982,8.643833150896555,8.398152138926417,9.651631556745714,11.063569019448982,0.9183134380593198,0.8889620944599628
33,8.63799909713783,5.744224505756641,9.186317570820776,12.78853846070275,12.78853846070275,0.9358377044593988,0.9523693516248736
34,8.105323443079142,8.209715011808703,8.419030055398332,8.102288083514534,8.419030055398332,0.9488870382475528,0.8987706628311455
35,8.607851619214765,10.684140541773724,7.191752296054224,10.363254467093453,10.684140541773724,0.9617091770223701,0.8964064037894758
36,8.215230066841105,6.121570554408899,8.850668665012451,8.20697528174267,8.850668665012451,0.9326317490683861,0.9764094242736242
37,8.59326569751781,8.11119374723772,7.740670744334069,10.021435660937975,10.021435660937975,0.939687953822023,0.9308941133289768
38,7.739765332611559,8.531467018361566,8.639854382374853,9.971632942116724,9.971632942116724,0.9321383952574913,0.856465222262238
39,5.763016504143165,8.621966094054697,7.928260448358933,8.885583262498,8.885583262498,0.9795375278892563,0.8737632674170224
40,9.424830527966693,6.248477472199663,8.435704744240509,7.910472021711354,9.424830527966693,0.9491006829859948,0.9578997324368587
41,9.265369188695317,8.316546515675435,9.104174794449719,10.333714994849686,10.333714994849686,0.9278757587799001,0.8655250633072159
42,9.61715543812792,8.077933648492703,10.983140507083265,10.701058670514376,10.983140507083265,0.9181981008964852,0.9542888567686835
43,8.052207903647322,8.522252606141548,7.755037051347618,10.113823100278404,10.113823100278404,0.9514154825740082,0.8797252955879529
44,6.805041922325361,10.022485409664162,8.465070095942204,10.784593109170814,10.784593109170814,0.966014866830031,0.8548320691699351
45,7.610082942107669,8.944316855698267,8.833634524554808,9.200748375257138,9.200748375257138,0.9317761567873146,0.892674818988006
46,6.428798383733303,9.506992785620842,7.327324746132237,9.415703255846353,9.506992785620842,0.9613302670580441,0.8501656294291231
47,6.872118244971135,8.017986613087476,6.395550202212973,8.044204532921272,8.044204532921272,0.9633053711880454,0.8700971015125505
48,9.896247081735146,7.097313407345348,8.099716904783705,10.025604599320717,10.025604599320717,0.8800206590019732,0.9546607013942991
49,9.252103335678125,11.334906409715707,8.593309386845718,8.220165122390837,11.334906409715707,0.9494824575322715,0.7864612213834206
50,8.695240701753693,8.5810641189234,8.38500403620681,9.311464838968439,9.311464838968439,0.9384066016543688,0.9014671892753583
51,9.078644284518198,11.07297787267943,8.349782169698031,8.940745109516188,11.07297787267943,0.9534311601895998,0.9206846379582632
52,7.784471272758433,6.937897678326535,6.789170122588333,8.397622860280169,8.397622860280169,0.948807181370566,0.9075282715366493
53,11.721814705364064,5.090957486531844,8.067263297940398,10.816957051339985,11.721814705364064,0.8784293522047278,0.9584955204464403
54,9.385465280346214,9.293307985860741,7.756693026348244,10.115134731271407,10.115134731271407,0.9522974505115284,0.927298388098659
55,9.016698403374475,7.5873849601074825,8.326018185438746,10.349349952599027,10.349349952599027,0.9452174981536632,0.893837685198335
56,9.193967369231846,8.665045049567146,7.639036518043461,11.41305385444829,11.41305385444829,0.950102031681334,0.9088862237070336
57,9.69921234380399,6.026871501096222,7.278965743239424,8.668508925570348,9.69921234380399,0.9487899676722096,0.9791853748247733
58,6.946913146690468,8.557491901286687,7.71502090608011,8.837227194159649,8.837227194159649,0.9561377590751177,0.8892848745210928
59,8.891581832981407,9.476610601356592,6.633286126802214,9.482345238363365,9.482345238363365,0.9609437272034277,0.922172805201752
60,7.648591411130648,5.4257143993339385,8.675626772844,8.092385976492308,8.675626772844,0.9308641453476274,0.9636126838854576
61,13.700115809170391,9.239480050402458,8.745956365341215,12.639840511891537,13.700115809170391,0.9208065431460222,0.9215005178916084
62,6.437113323743499,10.522933282405925,7.701396505249715,12.938242796068195,12.938242796068195,0.9731312966264137,0.870333616927561
63,8.752213165347396,6.960500474345917,7.507684289079789,9.089096391627333,9.089096391627333,0.92136038553669,0.9282097111319818
64,8.694147969807299,6.486339980472724,8.064820675449369,7.99502186324035,8.694147969807299,0.9256904924567269,0.9255771702227987
65,10.61973108968327,10.410406064620858,7.489076039527312,9.681618276202515,10.61973108968327,0.9649546638305909,0.9373141978562466
66,6.777558489049494,5.891671443424094,7.597368678587542,8.670419356595382,8.670419356595382,0.9472659603591955,0.9063968744219428
67,11.980823648139719,7.125520667240511,9.555971646018296,10.426617246683762,11.980823648139719,0.8745197497190207,0.9442087860644998
