Det,Location,Target,Formula,C0,C1_sW13,C2_switch,C3_canyon,a_thresh,has_H_term,A,p_rho,q_HoverS,r_sW13
1,Street,RadiusP,additive,7.778055141600422,-0.5764394550326711,2.2984475048971484,0.5756133723295354,1.0,1.0,,,,
2,Intersection,RadiusP,additive,10.060390096607335,-1.156861841954657,2.1850804984976975,0.709826776029677,2.0,1.0,,,,
1,Street,RadiusI,power,,,,,,,13.814936468844776,0.16721947845750046,0.024702422381848013,-0.026014719101236587
2,Intersection,RadiusI,power,,,,,,,13.628410504087013,0.14418320397162768,0.07974013789213381,0.044291879171335244
