Theta_deg,config_01_det1_b15_s5_h4_w50,config_02_det1_b15_s5_h4_w500,config_03_det1_b15_s5_h4_w1500,config_04_det1_b15_s5_h12_w50,config_05_det1_b15_s5_h12_w500,config_06_det1_b15_s5_h12_w1500,config_07_det1_b15_s5_h24_w50,config_08_det1_b15_s5_h24_w500,config_09_det1_b15_s5_h24_w1500,config_10_det1_b15_s20_h4_w50,config_11_det1_b15_s20_h4_w500,config_12_det1_b15_s20_h4_w1500,config_13_det1_b15_s20_h12_w50,config_14_det1_b15_s20_h12_w500,config_15_det1_b15_s20_h12_w1500,config_16_det1_b15_s20_h24_w50,config_17_det1_b15_s20_h24_w500,config_18_det1_b15_s20_h24_w1500,config_19_det1_b30_s5_h4_w50,config_20_det1_b30_s5_h4_w500,config_21_det1_b30_s5_h4_w1500,config_22_det1_b30_s5_h12_w50,config_23_det1_b30_s5_h12_w500,config_24_det1_b30_s5_h12_w1500,config_25_det1_b30_s5_h24_w50,config_26_det1_b30_s5_h24_w500,config_27_det1_b30_s5_h24_w1500,config_28_det1_b30_s20_h4_w50,config_29_det1_b30_s20_h4_w500,config_30_det1_b30_s20_h4_w1500,config_31_det1_b30_s20_h12_w50,config_32_det1_b30_s20_h12_w500,config_33_det1_b30_s20_h12_w1500,config_34_det1_b30_s20_h24_w50,config_35_det1_b30_s20_h24_w500,config_36_det1_b30_s20_h24_w1500,config_37_det2_b15_s5_h4_w50,config_38_det2_b15_s5_h4_w500,config_39_det2_b15_s5_h4_w1500,config_40_det2_b15_s5_h12_w50,config_41_det2_b15_s5_h12_w500,config_42_det2_b15_s5_h12_w1500,config_43_det2_b15_s5_h24_w50,config_44_det2_b15_s5_h24_w500,config_45_det2_b15_s5_h24_w1500,config_46_det2_b15_s20_h4_w50,config_47_det2_b15_s20_h4_w500,config_48_det2_b15_s20_h4_w1500,config_49_det2_b15_s20_h12_w50,config_50_det2_b15_s20_h12_w500,config_51_det2_b15_s20_h12_w1500,config_52_det2_b15_s20_h24_w50,config_53_det2_b15_s20_h24_w500,config_54_det2_b15_s20_h24_w1500,config_55_det2_b30_s5_h4_w50,config_56_det2_b30_s5_h4_w500,config_57_det2_b30_s5_h4_w1500,config_58_det2_b30_s5_h12_w50,config_59_det2_b30_s5_h12_w500,config_60_det2_b30_s5_h12_w1500,config_61_det2_b30_s5_h24_w50,config_62_det2_b30_s5_h24_w500,config_63_det2_b30_s5_h24_w1500,config_64_det2_b30_s20_h4_w50,config_65_det2_b30_s20_h4_w500,config_66_det2_b30_s20_h4_w1500,config_67_det2_b30_s20_h12_w50,config_68_det2_b30_s20_h12_w500,config_69_det2_b30_s20_h12_w1500,config_70_det2_b30_s20_h24_w50,config_71_det2_b30_s20_h24_w500,config_72_det2_b30_s20_h24_w1500,config_73_det1_b10_s8_h10_w250,config_74_det1_b10_s8_h10_w1000,config_75_det1_b10_s8_h15_w250,config_76_det1_b10_s8_h15_w1000,config_77_det1_b10_s12_h10_w250,config_78_det1_b10_s12_h10_w1000,config_79_det1_b10_s12_h15_w250,config_80_det1_b10_s12_h15_w1000,config_81_det2_b10_s8_h10_w250,config_82_det2_b10_s8_h10_w1000,config_83_det2_b10_s8_h15_w250,config_84_det2_b10_s8_h15_w1000,config_85_det2_b10_s12_h10_w250,config_86_det2_b10_s12_h10_w1000,config_87_det2_b10_s12_h15_w250,config_88_det2_b10_s12_h15_w1000,config_89_det1_b10_s5_h15_w250,config_90_det1_b10_s5_h15_w1000,config_91_det1_b10_s5_h24_w250,config_92_det1_b10_s5_h24_w1000,config_93_det2_b10_s5_h15_w250,config_94_det2_b10_s5_h15_w1000,config_95_det2_b10_s5_h24_w250,config_96_det2_b10_s5_h24_w1000
0.0,33.675083518827385,49.125057251875035,75.07503746252812,43.876602534836266,70.2769610185301,83.77664501518308,43.876602534836266,70.426956841823,86.47763439178941,12.525224548885342,12.525224548885342,64.42713907973875,12.525224548885342,12.525224548885342,71.77503918494227,12.525224548885342,12.525224548885342,71.77692003701468,41.62506756751273,54.67628599310673,56.775049537627,54.97546043463392,89.92653251404727,99.97727866870552,54.826282474740154,91.42749176259841,121.25231956544171,18.075155600989994,18.075155600989994,70.50177302735017,18.075155600989994,83.32665389897761,96.22502922836657,18.075155600989994,83.77664501518308,98.92502843062518,35.47507928109534,43.5766135673712,73.42503830438224,40.8756192613641,62.17721648642692,98.4773133772444,40.8756192613641,62.32721115211236,100.25031172021362,10.125277773967488,50.47505572062303,54.825051299565594,10.125277773967488,56.17505006673336,81.67668731039475,10.125277773967488,56.17505006673336,82.87666287924485,37.72507455261023,50.775055391402574,84.97768089327926,49.8764097545122,84.3766333175246,99.97502813202904,49.8764097545122,86.77658814449897,105.25267217510442,10.125277773967488,59.02504764928191,63.07504458975831,10.125277773967488,69.97504019291449,99.82502817430107,10.125277773967488,69.97504019291449,105.75265954102525,50.9263806882052,67.72603819802247,50.9263806882052,68.3260290811635,17.92515690307898,42.67559314174789,17.92515690307898,42.825065674205334,43.72660803218105,60.22504669985735,43.72660803218105,60.22542029741261,37.575074850224844,57.975048512269474,37.575074850224844,57.975048512269474,52.876329770512626,68.0270258794253,52.876329770512626,71.02694031140578,46.576509637369774,93.97574820133117,46.576509637369774,60.52727690884499
1.0,33.23524108532989,49.13787999089908,88.72883550458667,42.832945847793376,69.38412102203212,80.4828630827706,42.832945847793376,69.5341013460302,85.88446454394415,12.527020795065361,12.527020795065361,64.1348676618265,12.527020795065361,12.527020795065361,71.48920373035358,12.527020795065361,12.527020795065361,71.63634726868756,41.50301193889427,53.78383818583423,86.51300480274628,54.08378916089367,88.28420725135383,99.84260738782818,53.933813605195766,96.52992411682503,119.78157203844003,18.076400360691284,18.076400360691284,70.4339850498323,18.076400360691284,82.2848786229888,95.94050891047013,18.076400360691284,82.73482489254448,98.78527850849031,34.884756699739214,42.98605878654148,79.88517540820699,40.13348041224434,60.98537734572116,99.83742409537619,40.13348041224434,61.13535188415946,99.98740545688742,10.12749969143421,50.184472200074,54.82751362226815,10.12749969143421,56.03348329347373,64.4376151793345,10.12749969143421,56.03348329347373,80.18513733853675,37.13416553525877,50.184472200074,84.3846327834636,48.684764043795056,82.13489666396373,100.25779271458154,48.684764043795056,85.88446454394415,118.25660658077416,10.12749969143421,58.58311403467726,62.78507983589732,10.12749969143421,69.69279912587812,99.70572325598968,10.12749969143421,69.69279912587812,101.77487410947754,50.48441591223969,66.98444782186384,50.48441591223969,67.7343432093351,17.926412078271547,42.386215329986705,17.926412078271547,42.53300189264802,43.58590655246257,59.93293126487307,43.58590655246257,59.93555914480151,37.57687121089248,57.83905471219252,37.57687121089248,57.83905471219252,51.83417067919578,66.68449032571218,51.68419729472443,66.83446902609461,45.53543949496919,98.3298339772828,45.53543949496919,59.78295116502697
2.0,32.20025232820389,48.55565106143671,88.93905919223567,40.44065095915247,67.47041018105641,80.66772123966314,40.44065095915247,67.47041018105641,81.56724986169387,12.509996003196804,12.509996003196804,61.91321547133536,12.509996003196804,12.509996003196804,71.06810993687674,12.509996003196804,12.509996003196804,71.21801913841749,41.79014536945283,51.709005501943274,86.57078028988765,51.40920394248485,90.10899649868486,90.11324125787509,51.25930403351181,90.11324125787509,90.11324125787509,18.08262287390853,18.08262287390853,69.56386454187259,18.08262287390853,79.46836634787455,95.22466198417298,18.08262287390853,79.61828464617912,98.22314518482901,33.40540749639196,41.80467976195966,78.87383121162557,38.65709831324643,58.759903420614975,82.48806731885527,38.65709831324643,58.759903420614975,82.60363944766598,10.131942064579722,48.70555666451211,54.702205165788335,10.131942064579722,55.46765949632272,74.95235986945308,10.131942064579722,55.46765949632272,75.10230522427392,35.653488609110894,48.40574604321268,83.06648692463163,46.29693564373348,80.96756294961581,83.06648692463163,46.29693564373348,81.86709503823866,107.79900277831888,10.131942064579722,57.26081775525041,62.063123108654466,10.131942064579722,69.26923018195019,99.42731641757209,10.131942064579722,69.26923018195019,100.02227876828242,47.806131928864524,62.66275807846316,47.806131928864524,62.96257817148214,18.232560160328553,41.50489428970998,18.232560160328553,41.654786639712846,43.15948621102897,58.60500191963139,43.15948621102897,58.60500191963139,37.4419049996124,57.7007907224849,37.4419049996124,57.7007907224849,49.010878894384255,63.878957803019915,49.010878894384255,76.17024517487127,43.3093667697878,83.06648692463163,43.3093667697878,76.45182306524809
3.0000000000000004,31.031697504326118,47.54751570797364,88.38583738359895,41.06782499719214,52.640490594218434,72.59666831198247,41.06782499719214,72.4682430447986,72.59666831198247,12.543175435271564,12.543175435271564,55.2106986914674,12.543175435271564,12.543175435271564,70.0637299178398,12.543175435271564,12.543175435271564,70.21354036081644,41.96690660508587,55.18053325222583,86.43078878501574,55.18053325222583,90.04130302255737,90.16266549964016,55.18053325222583,90.16266549964016,90.16266549964016,18.09381800505355,18.09381800505355,67.21749214304265,18.09381800505355,75.62179745285084,92.58809993730296,18.09381800505355,75.77160582962459,99.9230266254981,32.52908314109084,40.04255548788064,82.57803127951162,37.62952630581469,62.68645188555498,62.68645188555498,37.62952630581469,62.68645188555498,62.68645188555498,10.138601974631413,42.28896132562256,54.4536155824386,10.138601974631413,54.4536155824386,75.18015861914633,10.138601974631413,54.4536155824386,75.32994922339985,34.03529418118786,47.098208564657746,72.14711532694845,46.34939319991147,72.59666831198247,72.59666831198247,46.34939319991147,72.59666831198247,72.59666831198247,10.138601974631413,55.35233734902258,60.46925871879033,10.138601974631413,68.41586986949739,97.86997113517505,10.138601974631413,68.41586986949739,99.83359279320764,44.99312447474613,61.060226416219585,44.99312447474613,61.060226416219585,19.149836813926118,38.985718538972705,19.149836813926118,38.985718538972705,50.868027777770195,67.195396047646,50.868027777770195,67.7007847074168,44.37123223441061,64.52973151966464,44.37123223441061,64.67113923536526,48.895513597875215,70.07143676277802,48.895513597875215,70.07143676277802,42.43873525448184,62.68645188555498,42.43873525448184,75.21426892551706
4.0,29.716094124228373,50.93035686110986,70.9032880055643,35.57198687169442,52.67381939825514,72.66915611179202,35.57198687169442,52.67381939825514,88.93273441202625,12.552141251595284,12.552141251595284,54.5093684608435,12.552141251595284,12.552141251595284,57.51253124319951,12.552141251595284,12.552141251595284,57.51253124319951,35.57198687169442,55.12954062932141,55.2282196888511,55.2282196888511,55.2282196888511,90.25046398772696,55.2282196888511,55.2282196888511,90.25046398772696,18.10997653228739,18.10997653228739,65.93391577936198,18.10997653228739,70.59352838610633,100.01890446310638,18.10997653228739,70.604045563976,114.47980171191772,32.538073852027566,42.60594148707431,81.55897406171806,35.57198687169442,62.751025888028316,79.95612077883719,35.57198687169442,62.751025888028316,62.751025888028316,10.147475055401713,41.738426539581006,54.06048695674133,10.147475055401713,44.29256427437905,74.49467262831618,10.147475055401713,44.29256427437905,74.49467262831618,37.58324094593227,37.58324094593227,72.66915611179202,37.58324094593227,72.66915611179202,72.66915611179202,37.58324094593227,72.66915611179202,72.66915611179202,10.147475055401713,50.29867045956583,59.16896357043953,10.147475055401713,66.38283852020791,96.88496400370906,10.147475055401713,66.38283852020791,97.78803607803972,56.47584660720014,78.46053944499744,56.47584660720014,67.25162637438592,19.557607215607945,52.374385437921845,19.557607215607945,52.276345032911394,50.29867045956583,74.22719346708455,50.29867045956583,71.16270968702638,44.30373855556662,63.67893097406708,44.30373855556662,63.67893097406708,40.21077281028058,67.73999003542886,40.21077281028058,67.73999003542886,47.62877281643944,60.66712454039667,47.62877281643944,75.82236642310764
5.0,32.730433086043945,50.668592342791605,70.94833507560271,32.730433086043945,52.748518936554035,72.75456171265138,32.730433086043945,52.748518936554035,72.75456171265138,12.575422458112492,12.575422458112492,53.38451320373728,12.575422458112492,12.575422458112492,81.33714557322503,12.575422458112492,12.575422458112492,82.45996756002272,27.64988697987751,52.800532667767655,55.302316859241984,27.64988697987751,55.302316859241984,90.35635699827655,27.64988697987751,55.302316859241984,90.35635699827655,18.13108518539362,18.13108518539362,65.82872663207151,18.13108518539362,69.95252854615049,104.57592935279132,18.13108518539362,70.08877406546644,111.2233114054783,27.64988697987751,60.9492104132613,80.93921330232955,27.64988697987751,42.65871833517739,79.68043203949135,27.64988697987751,42.65871833517739,79.0704195638293,10.009058397271943,41.05357779779979,53.53392615902555,10.009058397271943,43.45717719778863,72.79079612148777,10.009058397271943,43.45717719778863,72.94111494897784,37.662979170532964,37.662979170532964,72.6821590901096,37.662979170532964,72.75456171265138,72.75456171265138,37.662979170532964,72.75456171265138,72.75456171265138,10.009058397271943,46.71976294888491,56.99694070737481,10.009058397271943,90.80496269477786,94.45385778251728,10.009058397271943,91.78976658647738,94.76540112298369,49.2855582295666,77.76201675625445,49.2855582295666,67.26366961443598,20.84649251073187,73.20315054695392,20.84649251073187,72.3059904157325,46.7573122623617,74.02655773436989,46.7573122623617,73.59216160706247,43.74255650965087,72.3059904157325,43.74255650965087,72.3059904157325,40.25439417007788,67.39934161399502,40.25439417007788,67.39934161399502,32.730433086043945,74.85984404204967,43.56783503916622,76.666069744053
6.000000000000001,32.78400905929597,50.307616222595954,70.96450697355687,32.78400905929597,52.82907580111542,52.82907580111542,32.78400905929597,52.82907580111542,72.77033221031769,12.58972795575822,12.58972795575822,52.262570258264184,12.58972795575822,12.58972795575822,98.03879971725479,12.58972795575822,12.58972795575822,98.03879971725479,23.323191248197578,52.42762868946106,55.381596672540965,23.323191248197578,55.381596672540965,55.381596672540965,23.323191248197578,55.381596672540965,90.50141573478285,18.03902020620854,18.03902020620854,69.30787292941545,18.03902020620854,68.69549657728663,100.48639833330678,18.03902020620854,68.69549657728663,100.48639833330678,23.323191248197578,60.710635394467744,80.94751385929032,23.323191248197578,59.15755446263816,79.79978853355439,23.323191248197578,59.0540112947461,78.93399932855296,10.022537103947284,40.36825795101889,62.62037408064566,10.022537103947284,63.625201374926895,70.94896933712286,10.022537103947284,63.625201374926895,70.94896933712286,37.651643390428525,37.75428783595315,72.00882758384557,37.75428783595315,72.75487097095287,72.87414665023529,37.75428783595315,72.81855017782213,72.87414665023529,10.022537103947284,46.53107832406208,53.91921039852123,10.022537103947284,90.54615535736457,91.45677257590057,10.022537103947284,90.69537612249039,91.75519740047426,49.366296701292065,64.66870379093739,49.366296701292065,64.33802336099548,21.78385296498303,76.84517714209525,21.78385296498303,77.19165272229893,40.32141180563994,73.06870910314483,40.32141180563994,73.51629921316768,42.75460501513258,72.41171348614809,42.75460501513258,72.41171348614809,40.32141180563994,67.30680686230777,40.32141180563994,67.23623465067033,44.6945885986212,93.05399642143264,44.6945885986212,76.53124361984457
7.0,32.84845886795909,50.002562434339296,69.89074509547027,32.84845886795909,52.92481695764284,52.92481695764284,32.84845886795909,52.92481695764284,52.92481695764284,12.589678312014172,12.589678312014172,98.1758626139847,12.589678312014172,49.388169129863485,98.1758626139847,12.589678312014172,49.388169129863485,98.1758626139847,20.19631773368601,52.21562266218799,52.40187258104428,20.19631773368601,55.492398128031915,55.492398128031915,20.19631773368601,55.492398128031915,90.6591487385581,18.056473908269023,18.056473908269023,85.69011757489892,18.056473908269023,66.85836709043977,85.69011757489892,18.056473908269023,66.85836709043977,85.70744570922645,22.72710386300903,59.50908544079635,80.45881710539871,22.72710386300903,42.80351913102473,79.9001016895473,22.72710386300903,42.80351913102473,63.046143815462656,10.056154831743592,39.545559169140596,64.30899042902166,10.056154831743592,62.93255318195821,80.55495794797487,10.056154831743592,62.93255318195821,80.55495794797487,20.19631773368601,37.769034936042516,71.10007911388004,37.769034936042516,37.769034936042516,73.00124142780038,37.769034936042516,37.769034936042516,73.00124142780038,10.056154831743592,46.18745771310648,77.98507068663848,10.056154831743592,85.42714000831351,85.42714000831351,10.056154831743592,85.42714000831351,85.42714000831351,49.445993265379954,64.14188374221636,49.445993265379954,67.5680490320684,22.5781144031117,77.37070666602445,22.5781144031117,77.63025344541907,40.38497554784452,73.11976476986233,40.38497554784452,73.48293169165204,50.35723632210171,72.47662554230847,50.35723632210171,72.51417964784542,40.38497554784452,67.27002489965349,40.38497554784452,67.27002489965349,44.83859944289072,93.22671961406773,44.83859944289072,76.05051774971686
8.0,32.92371865388234,49.935921439380685,69.28287125978541,32.92371865388234,53.03566017313256,53.03566017313256,32.92371865388234,53.03566017313256,53.03566017313256,12.643229413405422,12.643229413405422,98.43017829913751,12.643229413405422,48.875262147634565,78.91660946847628,12.643229413405422,48.875262147634565,98.43017829913751,20.216360948499112,52.036057210361356,52.22725581533075,20.216360948499112,55.60297878711175,55.60297878711175,20.216360948499112,55.60297878711175,90.86094458016602,18.095061480967676,35.63960227050801,85.87503275108546,18.095061480967676,63.83103672979156,85.87503275108546,18.095061480967676,63.83103672979156,85.87503275108546,22.7834643985501,59.67370652138176,79.91023870568777,22.7834643985501,42.8954105936754,59.11429607125505,22.7834643985501,42.8954105936754,42.8954105936754,10.076271631908302,38.735594096386336,80.72069901828154,10.076271631908302,80.72069901828154,80.72069901828154,10.076271631908302,80.72069901828154,80.72069901828154,17.819406555775082,37.90118731649445,70.51284457458797,37.90118731649445,37.90118731649445,73.16748765674546,37.90118731649445,37.90118731649445,73.16748765674546,10.076271631908302,45.693284517530586,74.1198101049915,10.076271631908302,74.1198101049915,74.1198101049915,10.076271631908302,74.1198101049915,74.1198101049915,42.74671039974889,64.23652582448712,42.74671039974889,67.69181080455745,23.080754970321053,75.83720228225722,23.080754970321053,73.58879840030002,40.47679890999287,73.54628644601983,40.47679890999287,73.56739257306867,50.468368806609945,67.56538499853309,50.468368806609945,67.86443287908622,40.47679890999287,67.39500166926328,40.47679890999287,67.39500166926328,44.7599849195685,78.30208330561838,44.7599849195685,61.05469883637131
9.0,33.00971447922566,49.90031312527007,53.1615109830411,33.00971447922566,53.1297586104059,93.65845530436641,33.00971447922566,53.1297586104059,53.1615109830411,12.516239451208977,46.74287378841827,149.4159462708047,12.516239451208977,47.92740604288948,81.22752766150155,12.516239451208977,47.92740604288948,80.7825553569581,20.259719889475274,55.75007847528109,55.75007847528109,20.259719889475274,55.75007847528109,55.75007847528109,20.259719889475274,55.75007847528109,91.09218544968608,18.138529433225838,35.793941526465055,86.08569131975418,18.138529433225838,62.22941426688829,86.08569131975418,18.138529433225838,62.22941426688829,86.08569131975418,22.82588990598176,59.46861567247046,60.97357009393496,22.82588990598176,43.00018895307322,43.00018895307322,22.82588990598176,43.00018895307322,122.6157616295719,10.098576632377457,38.06292487447595,80.93087328084381,10.098576632377457,40.03123780249619,80.93087328084381,10.098576632377457,40.03123780249619,80.93087328084381,16.041235924952915,37.993700135680385,69.94931200519416,37.993700135680385,37.993700135680385,73.33581151115735,37.993700135680385,37.993700135680385,73.33581151115735,10.098576632377457,45.042105301595306,65.51214582045073,10.098576632377457,47.63120038378206,65.51214582045073,10.098576632377457,47.63120038378206,65.51214582045073,44.23156395607101,64.84312800906507,44.23156395607101,64.00704062835587,23.168324281225,73.91888290552015,23.168324281225,76.21188391583034,40.58227753588997,70.29328737511143,40.58227753588997,72.68649289930006,50.59526904760958,66.76777853126461,50.59526904760958,67.82828502918233,40.58227753588997,55.75007847528109,40.58227753588997,55.75007847528109,44.69911911883723,92.74616568893832,44.69911911883723,61.51399231069302
